"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type","New Column"
"1474","15:06:07.109115","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.052064","Probe Response","","","","Pince2","1","","",""
"1475","15:06:07.110516","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001401","Probe Response","","","","Pince2","1","","",""
"1476","15:06:07.111933","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001417","Probe Response","","","","Pince2","1","","",""
"1477","15:06:07.113244","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.001311","Probe Response","","","","Pince2","1","","",""
"1478","15:06:08.192216","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-71 dBm","1.078972","Probe Request","","","","Internet","1","","",""
"1479","15:06:08.193330","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-71 dBm","0.001114","Probe Request","","","","","1","","",""
"1480","15:06:08.195418","b0:48:7a:e7:fe:3e","a8:b8:6e:43:7d:f7","802.11","-73 dBm","0.002088","Probe Response","","","","Emikroszkop","1","","",""
"1481","15:06:08.197058","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001640","Probe Response","","","","Pince2","1","","",""
"1482","15:06:08.249590","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.052532","Probe Response","","","","Pince2","1","","",""
"1483","15:06:24.202422","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","15.952832","Probe Request","","","","Internet","1","","",""
"1484","15:06:24.203531","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-67 dBm","0.001109","Probe Request","","","","","1","","",""
"1485","15:06:24.205587","b0:48:7a:e7:fe:3e","a8:b8:6e:43:7d:f7","802.11","-73 dBm","0.002056","Probe Response","","","","Emikroszkop","1","","",""
"1486","15:06:24.207159","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-89 dBm","0.001572","Probe Response","","","","Pince2","1","","",""
"1487","15:06:24.258345","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-87 dBm","0.051186","Probe Response","","","","Pince2","1","","",""
"1488","15:06:24.259655","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001310","Probe Response","","","","Pince2","1","","",""
"1489","15:06:24.261009","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001354","Probe Response","","","","Pince2","1","","",""
"1490","15:06:24.262446","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.001437","Probe Response","","","","Pince2","1","","",""
"1491","15:06:24.314587","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.052141","Probe Response","","","","Pince2","1","","",""
"1492","15:06:25.404666","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-73 dBm","1.090079","Probe Request","","","","Internet","1","","",""
"1493","15:06:25.405698","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-73 dBm","0.001032","Probe Request","","","","","1","","",""
"1494","15:06:25.407781","b0:48:7a:e7:fe:3e","a8:b8:6e:43:7d:f7","802.11","-75 dBm","0.002083","Probe Response","","","","Emikroszkop","1","","",""
"1495","15:06:25.409412","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.001631","Probe Response","","","","Pince2","1","","",""
"1496","15:06:25.462984","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.053572","Probe Response","","","","Pince2","1","","",""
"1497","15:06:25.517608","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.054624","Probe Response","","","","Pince2","1","","",""
"1498","15:06:25.518888","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001280","Probe Response","","","","Pince2","1","","",""
