"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type"
"114","20:46:47.611135","00:15:fa:d8:bb:00","da:a1:19:f0:62:fb","802.11","-77 dBm","0.082167","Probe Response","","","","Internet","1","",""
"115","20:46:47.626348","da:a1:19:f0:62:fb","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.015213","Probe Request","","","","Internet","1","",""
"116","20:46:47.626993","da:a1:19:f0:62:fb","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.000645","Probe Request","","","","","1","",""
"117","20:46:48.158383","00:15:fa:d8:bb:00","da:a1:19:89:10:1b","802.11","-77 dBm","0.531390","Probe Response","","","","Internet","1","",""
"118","20:46:48.231028","00:15:fa:d8:bb:00","da:a1:19:89:10:1b","802.11","-77 dBm","0.072645","Probe Response","","","","Internet","1","",""
"119","20:46:48.397044","00:15:fa:d8:bb:00","da:a1:19:89:10:1b","802.11","-77 dBm","0.166016","Probe Response","","","","Internet","1","",""
"120","20:46:50.915220","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","2.518176","Probe Response","","","","Internet","1","",""
"121","20:46:51.121824","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.206604","Probe Request","","","","","1","",""
"122","20:46:51.154066","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-77 dBm","0.032242","Probe Response","","","","Internet","1","",""
"123","20:46:52.866475","00:15:fa:d8:bb:00","08:f6:9c:4f:e4:82","802.11","-77 dBm","1.712409","Probe Response","","","","Internet","1","",""
"124","20:46:52.880236","00:15:fa:d8:bb:00","08:f6:9c:4f:e4:82","802.11","-77 dBm","0.013761","Probe Response","","","","Internet","1","",""
"125","20:46:53.108209","00:15:fa:d8:bb:00","08:f6:9c:4f:e4:82","802.11","-77 dBm","0.227973","Probe Response","","","","Internet","1","",""
"126","20:46:53.115920","08:f6:9c:4f:e4:82","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","0.007711","Probe Request","","","","Internet","1","",""
"127","20:46:53.126473","08:f6:9c:4f:e4:82","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.010553","Probe Request","","","","Internet","1","",""
"128","20:46:53.331449","00:15:fa:d8:bb:00","e8:50:8b:2c:61:34","802.11","-75 dBm","0.204976","Probe Response","","","","Internet","1","",""
"129","20:46:53.460459","e8:50:8b:2c:61:34","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.129010","Probe Request","","","","wifihostovska6","1","",""
"130","20:46:53.461627","e8:50:8b:2c:61:34","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.001168","Probe Request","","","","","1","",""
"131","20:46:53.479387","e8:50:8b:2c:61:34","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.017760","Probe Request","","","","Tanar","1","",""
"132","20:46:53.481847","e8:50:8b:2c:61:34","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.002460","Probe Request","","","","","1","",""
"133","20:46:54.722752","d8:c4:e9:ad:1a:e4","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","1.240905","Probe Request","","","","Internet","1","",""
"134","20:46:54.741578","d8:c4:e9:ad:1a:e4","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.018826","Probe Request","","","","Internet","1","",""
"135","20:46:57.020947","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","2.279369","Probe Response","","","","Internet","1","",""
"136","20:46:57.025596","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.004649","Probe Response","","","","Internet","1","",""
"137","20:46:57.035092","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-77 dBm","0.009496","Probe Response","","","","Internet","1","",""
"138","20:46:57.130358","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.095266","Probe Response","","","","Internet","1","",""
"139","20:46:57.262010","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.131652","Probe Request","","","","","1","",""
"140","20:46:57.272032","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.010022","Probe Request","","","","","1","",""
"141","20:46:57.292342","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.020310","Probe Request","","","","","1","",""
"142","20:46:57.315049","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.022707","Probe Request","","","","","1","",""
"143","20:46:58.508537","00:15:fa:d8:bb:00","04:56:04:bd:cb:fe","802.11","-77 dBm","1.193488","Probe Response","","","","Internet","1","",""
"144","20:46:58.674132","00:15:fa:d8:bb:00","da:a1:19:f8:fc:30","802.11","-75 dBm","0.165595","Probe Response","","","","Internet","1","",""
"145","20:46:58.680401","00:15:fa:d8:bb:00","04:56:04:bd:cb:fe","802.11","-75 dBm","0.006269","Probe Response","","","","Internet","1","",""
"146","20:46:58.759768","04:56:04:bd:cb:fe","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.079367","Probe Request","ALLVIEW","P9_Energy_mini","Telephone","","1","P9_Energy_mini","Smartphone - dual mode"
"147","20:46:59.450738","00:15:fa:d8:bb:00","70:b3:d5:00:ae:66","802.11","-77 dBm","0.690970","Probe Response","","","","Internet","1","",""
"148","20:46:59.466935","00:15:fa:d8:bb:00","70:b3:d5:00:ae:66","802.11","-75 dBm","0.016197","Probe Response","","","","Internet","1","",""
"149","20:46:59.504458","00:15:fa:d8:bb:00","70:b3:d5:00:ae:66","802.11","-77 dBm","0.037523","Probe Response","","","","Internet","1","",""
"150","20:46:59.507846","00:15:fa:d8:bb:00","70:b3:d5:00:ae:66","802.11","-77 dBm","0.003388","Probe Response","","","","Internet","1","",""
"151","20:46:59.559996","00:15:fa:d8:bb:00","70:b3:d5:00:ae:66","802.11","-77 dBm","0.052150","Probe Response","","","","Internet","1","",""
"152","20:46:59.750822","70:b3:d5:00:ae:66","ff:ff:ff:ff:ff:ff","802.11","-91 dBm","0.190826","Probe Request","","","","","1","",""
"153","20:47:00.830540","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","1.079718","Probe Request","","","","Internet5G","1","",""
"154","20:47:03.097764","00:15:fa:d8:bb:00","88:b4:a6:5d:fc:b0","802.11","-77 dBm","2.267224","Probe Response","","","","Internet","1","",""
"155","20:47:03.764090","da:a1:19:e9:10:c8","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.666326","Probe Request","","","","","1","",""
"156","20:47:04.970493","02:8e:ae:91:a1:3e","ff:ff:ff:ff:ff:ff","802.11","-75 dBm","1.206403","Probe Request","","","","","1","",""
"157","20:47:06.416868","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","1.446375","Probe Request","","","","Internet","1","",""
"158","20:47:06.467207","00:15:fa:d8:bb:00","08:f6:9c:4f:e4:82","802.11","-77 dBm","0.050339","Probe Response","","","","Internet","1","",""
"159","20:47:07.058533","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.591326","Probe Response","","","","Internet","1","",""
"160","20:47:07.461996","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.403463","Probe Request","","","","","1","",""
"161","20:47:07.471655","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.009659","Probe Request","","","","","1","",""
"162","20:47:07.481691","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.010036","Probe Request","","","","","1","",""
"163","20:47:07.791783","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.310092","Probe Request","","","","","1","",""
"164","20:47:07.813450","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","0.021667","Probe Request","","","","","1","",""
